id_„ÓÓ‰‡;√ÓÓ‰;ƒ‡Ú‡;“ÂÏÔÂ‡ÚÛ‡;id_ÔÓ„Ó‰˚
461705;Krasnolesnyy;2018-10-26 22:51:13+03:00;1;803
461756;Zyukayka;2018-10-26 22:51:13+03:00;2;801
461781;Zykovo;2018-10-26 22:51:13+03:00;0;804
461835;Zyablikovo;2018-10-26 22:50:52+03:00;1;803
462022;Zubovo;2018-10-26 22:51:13+03:00;0;803
462050;Zubova Polyana;2018-10-26 22:51:14+03:00;1;804
462305;Znamenskoye;2018-10-26 22:51:14+03:00;1;803
462313;Znamenskoye;2018-10-26 22:51:14+03:00;4;800
462352;Znamenka;2018-10-26 22:48:35+03:00;2;804
462357;Znamenka;2018-10-26 22:51:14+03:00;0;803
462383;Zmeyskaya;2018-10-26 22:51:14+03:00;7;803
462413;Zlynka;2018-10-26 22:51:15+03:00;3;803
462626;Zilair;2018-10-26 22:51:15+03:00;4;500
462755;Zhukovskiy;2018-10-26 22:50:54+03:00;1;800
462815;Zhukovka;2018-10-26 22:51:15+03:00;2;800
462914;Zhizdra;2018-10-26 22:51:15+03:00;1;803
462942;Zhitnitskaya;2018-10-26 22:50:58+03:00;2;803
462964;Zhiryatino;2018-10-26 22:51:15+03:00;1;804
462970;Zhirovo;2018-10-26 22:48:49+03:00;1;800
462988;Zhirnov;2018-10-26 22:51:15+03:00;5;500
463043;Zhilina;2018-10-26 22:49:08+03:00;2;804
463050;Zhilevo;2018-10-26 22:51:16+03:00;1;800
463053;Zhiletovo;2018-10-26 22:51:16+03:00;1;804
463229;Zhemtala;2018-10-26 22:51:16+03:00;7;803
463355;Zheleznodorozhnyy;2018-10-26 22:50:54+03:00;1;800
463356;Zheleznodorozhnyy;2018-10-26 22:51:16+03:00;6;803
463446;Zhdankovskiy;2018-10-26 22:51:16+03:00;0;803
463516;Zharkovskiy;2018-10-26 22:51:17+03:00;1;500
463544;Zhankhoteko;2018-10-26 22:51:17+03:00;7;803
463568;Zhadovka;2018-10-26 22:51:20+03:00;-1;801
463655;Zenzeli;2018-10-26 22:51:20+03:00;4;801
463666;Zeníkino;2018-10-26 22:48:41+03:00;1;800
463690;Zemlyansk;2018-10-26 22:51:20+03:00;1;803
463710;Zemetchino;2018-10-26 22:51:21+03:00;0;803
463790;Zelentsino;2018-10-26 22:48:47+03:00;-1;802
463838;Zelenoborskiy;2018-10-26 22:51:21+03:00;1;803
463880;Zelenets;2018-10-26 22:51:21+03:00;0;804
463885;Zelenchukskaya;2018-10-26 22:49:22+03:00;-3;500
463966;Zayukovo;2018-10-26 22:51:21+03:00;5;803
464018;Zaymishche;2018-10-26 22:51:21+03:00;2;804
464094;Zavoronezhskoye;2018-10-26 22:51:22+03:00;1;803
464112;Zavolzhsk;2018-10-26 22:51:22+03:00;-1;801
464159;Zavidovo;2018-10-26 22:51:22+03:00;0;803
464176;Zavety Ilíicha;2018-10-26 22:48:32+03:00;1;800
464179;Zavetnoye;2018-10-26 22:51:22+03:00;6;500
464180;Zavetnoye;2018-10-26 22:51:22+03:00;7;802
464260;Zaterechnyy;2018-10-26 22:51:22+03:00;5;803
464468;Zarubino;2018-10-26 22:51:23+03:00;-3;802
464616;Zarechnyy;2018-10-26 22:51:23+03:00;-1;801
464621;Zarechnyy;2018-10-26 22:51:23+03:00;0;803
464737;Zaponoríye;2018-10-26 22:48:32+03:00;2;800
464829;Zaplavnoye;2018-10-26 22:51:24+03:00;5;800
464891;Zapadnaya Dvina;2018-10-26 22:51:24+03:00;2;500
465019;Zandak;2018-10-26 22:51:24+03:00;6;500
465174;Zalukokoazhe;2018-10-26 22:51:24+03:00;5;801
465446;Zakharovo;2018-10-26 22:51:24+03:00;0;804
465476;Zakharkovo;2018-10-26 22:50:53+03:00;1;800
465532;Zakan-Yurt;2018-10-26 22:51:25+03:00;5;802
465825;Zaboríye;2018-10-26 22:48:41+03:00;1;800
465934;Zabolotovka;2018-10-26 22:51:25+03:00;1;802
466013;Yuzhnyy-Kospashskiy;2018-10-26 22:51:25+03:00;3;500
466060;Yuzhno-Sukhokumsk;2018-10-26 22:51:25+03:00;6;801
466200;Yuryuzan;2018-10-26 22:51:25+03:00;3;500
466285;Yurtseva;2018-10-26 22:50:58+03:00;-1;803
466314;Yurovka;2018-10-26 22:51:26+03:00;9;801
466349;Yurla;2018-10-26 22:51:26+03:00;1;500
466423;Yurino;2018-10-26 22:51:26+03:00;1;802
466538;Yumaguzino;2018-10-26 22:51:26+03:00;4;804
466658;Yukhnov;2018-10-26 22:51:26+03:00;1;803
466674;Yukamenskoye;2018-10-26 22:51:27+03:00;0;803
466699;Yugo-Kamskiy;2018-10-26 22:51:27+03:00;5;803
466710;Yuganets;2018-10-26 22:51:27+03:00;1;804
466724;Yug;2018-10-26 22:51:28+03:00;5;803
466798;Yubileynyy;2018-10-26 22:51:28+03:00;3;500
467030;Yesiplevo;2018-10-26 22:48:54+03:00;0;804
467084;Yertsevo;2018-10-26 22:51:28+03:00;0;804
467104;Yershovo;2018-10-26 22:48:35+03:00;1;801
467134;Yershichi;2018-10-26 22:51:28+03:00;2;803
467238;Yermolino;2018-10-26 22:51:28+03:00;1;801
467246;Yermolayevo;2018-10-26 22:51:29+03:00;3;804
467252;Yermish;2018-10-26 22:51:29+03:00;0;804
467260;Yermekeyevo;2018-10-26 22:51:29+03:00;4;500
467464;Yepifan;2018-10-26 22:51:29+03:00;0;803
467479;Yenotayevka;2018-10-26 22:51:29+03:00;2;800
467527;Yemtsa;2018-10-26 22:51:29+03:00;1;804
467539;Yemetsk;2018-10-26 22:51:30+03:00;1;804
467711;Yelovo;2018-10-26 22:51:30+03:00;3;500
467753;Yelnya;2018-10-26 22:51:30+03:00;1;804
467787;Yelkino;2018-10-26 22:51:30+03:00;4;800
467819;Yelkhovka;2018-10-26 22:51:30+03:00;5;802
467850;Yelizavetinskoye;2018-10-26 22:51:30+03:00;5;500
467856;Yelizavetino;2018-10-26 22:51:31+03:00;2;803
467934;Yelino;2018-10-26 22:50:55+03:00;2;800
467951;Yelgazino;2018-10-26 22:48:38+03:00;1;800
468042;Yelan-Kolenovskiy;2018-10-26 22:51:31+03:00;0;802
468044;Yelan-Koleno;2018-10-26 22:51:31+03:00;0;802
468116;Yekimovichi;2018-10-26 22:51:31+03:00;1;500
468180;Yekaterinovka;2018-10-26 22:51:31+03:00;2;500
468483;Yazykovo;2018-10-26 22:51:32+03:00;3;804
468486;Yazykovo;2018-10-26 22:51:32+03:00;0;803
468587;Yavas;2018-10-26 22:51:32+03:00;0;803
468747;Yashkul;2018-10-26 22:51:32+03:00;5;803
468776;Yashalta;2018-10-26 22:51:32+03:00;8;500
468782;Yasenskaya;2018-10-26 22:51:33+03:00;9;800
468927;Yaropolets;2018-10-26 22:51:33+03:00;0;803
468983;Yarensk;2018-10-26 22:51:33+03:00;-2;802
469017;Yar;2018-10-26 22:51:33+03:00;0;803
469049;Yantikovo;2018-10-26 22:51:33+03:00;1;802
469081;Yanisyarvi;2018-10-26 22:51:34+03:00;-4;800
469087;Yanino Vtoroye;2018-10-26 22:51:34+03:00;2;803
469151;Yandyki;2018-10-26 22:51:34+03:00;8;800
469186;Novaya Maka;2018-10-26 22:51:34+03:00;11;500
469372;Yalkhoy-Mokhk;2018-10-26 22:51:34+03:00;6;500
469512;Yaksatovo;2018-10-26 22:51:34+03:00;7;800
469544;Yakovlevo;2018-10-26 22:51:35+03:00;2;803
469577;Yakovlevo;2018-10-26 22:51:35+03:00;4;803
469655;Yakhroma;2018-10-26 22:51:35+03:00;2;800
469933;Vyyezdnoye;2018-10-26 22:51:35+03:00;-1;802
469960;Vytegra;2018-10-26 22:51:35+03:00;0;803
469991;Vysotskoye;2018-10-26 22:51:36+03:00;7;802
469995;Vysotsk;2018-10-26 22:51:36+03:00;0;800
470268;Vyshneye Dolgoye;2018-10-26 22:51:36+03:00;2;500
470274;Vyshkov;2018-10-26 22:51:36+03:00;3;803
470304;Vysha;2018-10-26 22:51:36+03:00;1;804
470390;Vypolzovo;2018-10-26 22:51:37+03:00;0;804
470473;Vygonichi;2018-10-26 22:51:37+03:00;1;803
470494;Vydumki;2018-10-26 22:59:58+03:00;1;803
470499;Vydropuzhsk;2018-10-26 22:51:37+03:00;0;802
470549;Vybor;2018-10-26 22:51:37+03:00;1;802
470819;Vvedenskoye;2018-10-26 22:48:39+03:00;1;801
471160;Voznesenye;2018-10-26 22:51:37+03:00;1;500
471172;Voznesenskoye;2018-10-26 22:51:38+03:00;0;803
471189;Voznesenskaya;2018-10-26 22:51:38+03:00;4;800
471245;Vozhega;2018-10-26 22:51:38+03:00;0;804
471308;Voyvozh;2018-10-26 22:51:38+03:00;0;803
471323;Voyskovitsy;2018-10-26 22:49:19+03:00;2;803
471499;Vostochnyy;2018-10-26 22:51:38+03:00;0;804
471607;Voskresenskoye;2018-10-26 22:51:39+03:00;0;804
471633;Voskresenskoye;2018-10-26 22:51:39+03:00;4;804
471639;Voskresenskoye;2018-10-26 22:51:39+03:00;3;800
471748;Vorya-Bogorodskoye;2018-10-26 22:48:50+03:00;2;800
471799;Vorotynets;2018-10-26 22:51:40+03:00;0;802
471820;Voroshnevo;2018-10-26 22:51:40+03:00;3;803
471909;Vorontsovka;2018-10-26 22:51:40+03:00;1;803
471911;Vorontsovka;2018-10-26 22:51:00+03:00;9;803
471971;Voronki;2018-10-26 22:50:59+03:00;1;800
471980;Voroniy Ostrov;2018-10-26 22:48:49+03:00;2;803
472045;Voronezh;2018-10-26 22:49:00+03:00;1;803
472229;Volzhskiy;2018-10-26 22:51:40+03:00;5;802
472306;Volovo;2018-10-26 22:51:40+03:00;1;500
472328;Volot;2018-10-26 22:49:18+03:00;0;801
472387;Voloshka;2018-10-26 22:51:41+03:00;0;804
472452;Vologodsko-Yamskaya Sloboda;2018-10-26 22:51:02+03:00;2;803
472490;Volodarskiy;2018-10-26 22:51:41+03:00;7;800
472625;Volkovo;2018-10-26 22:50:57+03:00;2;803
472684;Volkovichi;2018-10-26 22:59:59+03:00;1;803
472714;Volkhovskiy;2018-10-26 22:51:41+03:00;0;500
472751;Volgo-Kaspiyskiy;2018-10-26 22:51:41+03:00;7;800
472761;Volgodonsk;2018-10-26 22:51:09+03:00;5;801
472878;Vokhtoga;2018-10-26 22:51:41+03:00;-1;802
472887;Vokhma;2018-10-26 22:51:42+03:00;0;803
472942;Vodstroy;2018-10-26 22:51:42+03:00;5;800
472961;Yutsa;2018-10-26 22:51:42+03:00;4;801
472976;Vodnyy;2018-10-26 22:51:42+03:00;-1;804
472982;Vodniki;2018-10-26 22:59:52+03:00;1;800
473263;Vizinga;2018-10-26 22:51:42+03:00;0;804
473349;Vistino;2018-10-26 22:51:42+03:00;4;802
473353;Vislyy Bor;2018-10-26 22:48:48+03:00;1;804
473378;Visim;2018-10-26 22:51:43+03:00;4;803
